RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
1188,2244,854,1904,2.39060436,0.04627605,FBR
1188,2246,855,1905,2.43012515,0.03952079,FBZ
1188,2248,855,1905,2.43012515,0.0,FCAM
1189,2256,857,1907,2.45670233,0.02657718,FCB
1194,2263,861,1919,2.35670785,-0.09999448,FCBC
1200,2277,861,1923,2.38274135,0.0260335,FCFS
1204,2284,864,1926,2.35817295,-0.0245684,FCNCA
1206,2287,866,1930,2.3878197,0.02964675,FCO
1209,2292,866,1932,2.44854899,0.06072929,FCX
1209,2292,866,1932,2.44854899,0.0,FDC
1209,2292,866,1932,2.44854899,0.0,FDEU
1209,2293,867,1934,2.44025022,-0.00829877,FDT
1211,2296,869,1940,2.46226246,0.02201224,FDUS
1211,2301,870,1943,2.5140737,0.05181124,FELE
1213,2306,871,1948,2.58039199,0.06631829,FEM
1215,2312,871,1950,2.58760923,0.00721724,FEO
1215,2312,871,1950,2.58760923,0.0,FEUZ
1220,2319,871,1950,2.48415713,-0.1034521,FF
1226,2326,871,1950,2.49411882,0.00996169,FFC
1229,2332,871,1953,2.49756432,0.0034455,FFIN
1230,2334,871,1953,2.47836297,-0.01920135,FFWM
1230,2334,872,1961,2.52308525,0.04472228,FH
1230,2335,873,1964,2.66041288,0.13732763,FHCO
1231,2337,875,1969,2.65891239,-0.00150049,FHN
1234,2341,876,1971,2.6589123,-9e-08,FHY
1238,2345,880,1975,2.6589123,0.0,FII
1244,2355,886,1981,2.53683513,-0.12207717,FITB
1244,2360,888,1987,2.55320778,0.01637265,FIX
1244,2363,889,1988,2.6295419,0.07633412,FLKS
1244,2363,889,1988,2.6295419,0.0,FLN
1246,2369,891,1992,2.6110345,-0.0185074,FLR
1247,2371,892,1994,2.6110345,0.0,FLS
1247,2372,895,1998,2.60915126,-0.00188324,FLXN
1249,2375,895,1998,2.60708933,-0.00206193,FMB
1253,2382,896,1999,2.64656776,0.03947843,FMBI
1256,2388,904,2008,2.70607186,0.0595041,FMER
1258,2402,906,2013,2.73711404,0.03104218,FMNB
1258,2405,911,2021,2.79390501,0.05679097,FMX
1261,2410,912,2022,2.80728991,0.0133849,FMY
